FFT:    i     real imag 
   0      4.6485      0.0000 
   1      0.0176      0.3122 
   2      1.1114      0.0429 
   3      1.6776     -0.1353 
   4     -0.2340      1.3897 
   5      0.3652     -1.2589 
   6     -0.4325      0.2073 
   7     -0.1312      0.3763 
   8     -0.1949      0.0000 
   9     -0.1312     -0.3763 
  10     -0.4326     -0.2073 
  11      0.3652      1.2589 
  12     -0.2340     -1.3897 
  13      1.6776      0.1353 
  14      1.1113     -0.0429 
  15      0.0176     -0.3122 
================================= 
